CANOIL PRODUCT AND CUSTOMER LIST
Generated: 2025-12-01 18:43:01

================================================================================
PRODUCTS WITH PACKAGING SIZES
================================================================================

Item No.,Description,Packaging Size,Stocking Units,Purchasing Units,Unit Weight,Status,Item Type,Stock,Recent Cost,Standard Cost
#4 CUP GREASE 80029 PAIL,CC Calcium Stearate Grease PAIL,"Pail, KG",KG,PAIL,0,Active,Raw Material,0.000000,$4.073800,$0.000000
0136419,HiTEC 611 ,"LB, DRUM",lb,drum,1,Active,Raw Material,467.000000,$7.526002,$0.000000
0138235,HiTEC 60646 - Do not use,LB,LB,LB,388,Active,Raw Material,0.000000,$15.498500,$0.000000
1097288 12X1L CASE,FarmTek - SEMI-SYN 12x1L Case,Case,Case,Case,0,Active,Assembled,0.000000,$37.270830,$0.000000
1097288-B LBL-BACK 12X1L,FarmTek - Semi-syn 12x1L Label,N/A,EA,EA,0,Active,Raw Material,932.000000,$0.096750,$0.000000
1097288-F LBL-FRONT 12X1,FarmTek - Semi-syn 12x1L Label,N/A,EA,EA,0,Active,Raw Material,955.000000,$0.096750,$0.000000
1097293 4X4L CASE,FarmTek - SEMI-SYN 4x4L Case,Case,Case,Case,0,Active,Assembled,0.000000,$42.930079,$0.000000
1097293-B LBL-BACK 4X4L,FarmTek - Semi-syn 4x4L Label,N/A,EA,EA,0,Active,Raw Material,372.000000,$0.262000,$0.000000
1097293-F LBL-FRONT 4X4L,FarmTek - Semi-syn 4x4L Label,N/A,EA,EA,0,Active,Raw Material,389.000000,$0.262000,$0.000000
1097298 8X1.4L CASE, FarmTek - SAE 30 4T 8x1.4L Case,Case,Case,Case,0,Active,Assembled,0.000000,$26.608906,$0.000000
1097298-B LBL-BACK 8X1.4,FarmTek - SAE 30 4T 8x1.4L Label,N/A,EA,EA,0,Active,Raw Material,533.000000,$0.171000,$0.000000
1097298-F LBL-FRONT8X1.4,FarmTek - SAE 30 4T 8x1.4L Label,N/A,EA,EA,0,Active,Raw Material,549.000000,$0.171000,$0.000000
10W30 FCW LP 4X4L LBL-B,10W30 FCW LP MIN 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,"1,055.000000",$0.225000,$0.000000
